,country,count,percentage,population_country,billionaires_per_million
24,Monaco,17,0.6533435818601077,38964.0,436.3001745200698
49,Cayman Islands,3,0.11529592621060722,68000.0,44.11764705882353
69,British Virgin Islands,1,0.03843197540353574,30000.0,33.333333333333336
53,Bermuda,2,0.07686395080707148,62000.0,32.25806451612903
58,Turks and Caicos Islands,1,0.03843197540353574,38000.0,26.315789473684212
65,Liechtenstein,1,0.03843197540353574,38019.0,26.302638154606907
66,Guernsey,1,0.03843197540353574,67000.0,14.925373134328359
62,Andorra,1,0.03843197540353574,77142.0,12.963106997485157
6,Switzerland,78,2.997694081475788,8574832.0,9.096388127487511
7,Hong Kong,68,2.6133743274404306,7500000.0,9.066666666666668
75,Eswatini (Swaziland),1,0.03843197540353574,120000.0,8.333333333333334
9,Singapore,46,1.7678708685626443,5703569.0,8.06512553806222
56,Bahamas,2,0.07686395080707148,393000.0,5.089058524173027
39,Cyprus,5,0.1921598770176787,1198575.0,4.1716204659700065
19,Israel,26,0.9992313604919293,9053300.0,2.871880971579424
18,Sweden,26,0.9992313604919293,10285453.0,2.527841991986157
0,United States,754,28.97770945426595,328239523.0,2.297103021320196
12,Taiwan,43,1.6525749423520368,23800000.0,1.8067226890756303
23,United Arab Emirates,17,0.6533435818601077,9770529.0,1.7399262619250195
30,Norway,9,0.3458877786318217,5347896.0,1.6829048283661463
11,Australia,43,1.6525749423520368,25766605.0,1.6688267623926396
70,Luxembourg,1,0.03843197540353574,645397.0,1.5494339143194034
33,Finland,7,0.2690238278247502,5520314.0,1.2680438105513563
27,Austria,11,0.42275172943889316,8877067.0,1.2391480203990801
3,Germany,102,3.920061491160646,83132799.0,1.2269525533478067
4,United Kingdom,82,3.1514219830899313,66834405.0,1.226912994886391
31,Denmark,7,0.2690238278247502,5818553.0,1.2030482492812218
13,Canada,42,1.6141429669485012,36991981.0,1.135381205997051
8,Italy,55,2.113758647194466,60297396.0,0.9121455261517429
42,Ireland,4,0.15372790161414296,4900000.0,0.8163265306122448
50,Qatar,2,0.07686395080707148,2832067.0,0.7061979818980272
63,Bahrain,1,0.03843197540353574,1501635.0,0.6659407912042541
34,Czech Republic,7,0.2690238278247502,10669709.0,0.6560628785658541
29,Netherlands,10,0.3843197540353574,17332850.0,0.5769391646497836
16,South Korea,29,1.1145272867025366,51709098.0,0.5608297402518992
5,Russia,79,3.036126056879324,144373535.0,0.5471916996421816
21,Spain,25,0.9607993850883935,47076781.0,0.5310473543210187
71,Latvia,1,0.03843197540353574,1912789.0,0.5227968165856245
15,France,35,1.345119139123751,67059887.0,0.521921547526616
57,New Zealand,2,0.07686395080707148,4841000.0,0.41313778145011365
17,Thailand,28,1.0760953112990008,69625582.0,0.40215103695650256
32,Kazakhstan,7,0.2690238278247502,18513930.0,0.3780936840530347
1,China,523,20.099923136049195,1397715000.0,0.374182147290399
52,Slovakia,2,0.07686395080707148,5454073.0,0.3666984288622466
28,Malaysia,11,0.42275172943889316,32447385.0,0.33901037017312796
77,Armenia,1,0.03843197540353574,2957731.0,0.3380970074695772
37,Chile,6,0.23059185242121444,18952038.0,0.31658864339550186
44,Hungary,3,0.11529592621060722,9769949.0,0.3070640389217999
14,Japan,38,1.4604150653343582,126226568.0,0.30104597314251624
20,Turkey,25,0.9607993850883935,83429615.0,0.2996537860087212
51,Lebanon,2,0.07686395080707148,6855713.0,0.2917274979276408
60,Uruguay,1,0.03843197540353574,3461734.0,0.288872570798334
46,Greece,3,0.11529592621060722,10716322.0,0.27994679517842036
74,Georgia,1,0.03843197540353574,3720382.0,0.26878960278810077
48,Belgium,3,0.11529592621060722,11484055.0,0.26123176874370596
10,Brazil,44,1.6910069177555727,212559417.0,0.20700094411719241
67,Oman,1,0.03843197540353574,5266535.0,0.18987816467563587
45,Romania,3,0.11529592621060722,19356544.0,0.1549863446697923
36,Ukraine,6,0.23059185242121444,44385155.0,0.13518033225297962
38,Poland,5,0.1921598770176787,37970874.0,0.13167987652852026
25,Philippines,14,0.5380476556495004,108116615.0,0.12948981060866546
2,India,157,6.033820138355112,1366417754.0,0.11489897547101105
26,Mexico,13,0.49961568024596464,126014024.0,0.10316312095548985
73,Portugal,1,0.03843197540353574,10269417.0,0.09737651124693836
22,Indonesia,25,0.9607993850883935,270203917.0,0.09252271498343971
43,Argentina,4,0.15372790161414296,44938712.0,0.08901011671184524
40,South Africa,5,0.1921598770176787,58558270.0,0.08538503613580115
35,Vietnam,6,0.23059185242121444,96462106.0,0.06220059097610827
55,Peru,2,0.07686395080707148,32510453.0,0.061518675239622164
68,Cambodia,1,0.03843197540353574,16486542.0,0.060655533464810264
54,Morocco,2,0.07686395080707148,36910560.0,0.05418503539366512
41,Egypt,4,0.15372790161414296,100388073.0,0.03984537087388857
59,Nepal,1,0.03843197540353574,28608710.0,0.03495438976451577
76,Uzbekistan,1,0.03843197540353574,33580650.0,0.029779054306572388
72,Algeria,1,0.03843197540353574,43053054.0,0.023227155964359696
64,Colombia,1,0.03843197540353574,50339443.0,0.019865138356814954
61,Tanzania,1,0.03843197540353574,58005463.0,0.017239755503718677
47,Nigeria,3,0.11529592621060722,200963599.0,0.014928076601574
